player_id,player_name,match_id,match_name,club,Minutes,total_distance,high_intensity_distance,sprint_distance,hi_runs,sprint_runs,position,division
1897,Gabin Blancquart,20250808,De Graafschap vs VVV-Venlo,VVV-Venlo,99.43175735950044,11146.3,512.45,101.82,19.0,4.0,CB,KKD
2009,Driess Saddiki,20250808,De Graafschap vs VVV-Venlo,VVV-Venlo,35.47353975469594,4135.86,415.85,123.41,13.0,5.0,DM,KKD
2095,Youri Schoonderwaldt,20250808,De Graafschap vs VVV-Venlo,VVV-Venlo,99.4253859348199,5796.5,13.67,2.01,0.0,0.0,GK,KKD
2096,Michael Davis,20250808,De Graafschap vs VVV-Venlo,VVV-Venlo,79.1510399471773,9589.94,816.96,163.32,26.0,7.0,RB,KKD
2097,Thomas Reinders,20250808,De Graafschap vs VVV-Venlo,VVV-Venlo,99.43301476976542,11444.74,709.4399999999999,131.67,35.0,6.0,CB,KKD
2098,Philip Heise,20250808,De Graafschap vs VVV-Venlo,VVV-Venlo,64.24914733969986,7535.14,574.9,91.22,24.0,5.0,LB,KKD
2099,Jorn Triep,20250808,De Graafschap vs VVV-Venlo,VVV-Venlo,99.43104393452894,12696.35,1357.58,349.83,44.0,15.0,AM,KKD
2100,Navarone Foor,20250808,De Graafschap vs VVV-Venlo,VVV-Venlo,63.96000318699705,8027.62,615.88,80.33,21.0,4.0,AM,KKD
2101,Lars de Blok,20250808,De Graafschap vs VVV-Venlo,VVV-Venlo,35.422842342718695,4239.76,452.88,207.37,10.0,9.0,LB,KKD
2103,Nassim Ait Mouhou,20250808,De Graafschap vs VVV-Venlo,VVV-Venlo,35.18158123370982,4049.4,430.39,139.72,13.0,5.0,LW,KKD
465,Lasse Wehmeyer,20250808,De Graafschap vs VVV-Venlo,VVV-Venlo,35.284998861825635,4650.21,523.13,104.93,20.0,5.0,RW,KKD
1076,Ties Wieggers,20250808,De Graafschap vs VVV-Venlo,De Graafschap,99.42677326075864,5845.3,5.21,0.0,0.0,0.0,GK,KKD
1171,Stijn Bultman,20250808,De Graafschap vs VVV-Venlo,De Graafschap,11.663652024117141,1083.32,77.8,6.35,5.0,0.0,CB,KKD
1207,Teun Gijselhart,20250808,De Graafschap vs VVV-Venlo,De Graafschap,99.43137090695922,11873.1,791.98,149.77,27.0,5.0,CM,KKD
136,Rowan Besselink,20250808,De Graafschap vs VVV-Venlo,De Graafschap,99.43104079019572,10871.79,712.63,135.39,32.0,5.0,CB,KKD
1439,Jevon Simons,20250808,De Graafschap vs VVV-Venlo,De Graafschap,51.16674458469689,6566.74,664.83,175.21,19.0,7.0,RW,KKD
1700,Bouke Boersma,20250808,De Graafschap vs VVV-Venlo,De Graafschap,15.622240245111291,1733.6,138.27,34.76,4.0,1.0,CF,KKD
1812,Ibrahim El Kadiri,20250808,De Graafschap vs VVV-Venlo,De Graafschap,83.87324571173981,11295.21,1098.5900000000001,312.37,34.0,14.0,LW,KKD
1873,Kaya Symons,20250808,De Graafschap vs VVV-Venlo,De Graafschap,26.387203110472488,3121.87,336.66,54.61,11.0,3.0,LB,KKD
1978,Reuven Niemeijer,20250808,De Graafschap vs VVV-Venlo,De Graafschap,99.42896152919444,12379.9,994.33,188.75,32.0,9.0,AM,KKD
2081,Thomas Kok,20250808,De Graafschap vs VVV-Venlo,De Graafschap,99.4294621979735,10205.44,557.9000000000001,88.43,28.0,2.0,CB,KKD
2082,Othniël Raterink,20250808,De Graafschap vs VVV-Venlo,De Graafschap,99.43446804563584,10720.03,864.9300000000001,294.41,28.0,11.0,RB,KKD
2083,Milan Smits,20250808,De Graafschap vs VVV-Venlo,De Graafschap,87.77162062464137,10707.26,785.73,144.76,32.0,6.0,CM,KKD
2084,Dimitris Theodoridis,20250808,De Graafschap vs VVV-Venlo,De Graafschap,83.81013082858102,9993.52,818.86,241.17,25.0,13.0,CF,KKD
2091,Nathan Kaninda,20250808,De Graafschap vs VVV-Venlo,De Graafschap,15.562203978528576,1971.42,309.42999999999995,38.4,12.0,1.0,RW,KKD
586,Levi Schoppema,20250808,De Graafschap vs VVV-Venlo,De Graafschap,73.04244031830238,8536.47,759.84,189.61,26.0,8.0,LB,KKD
60,Arjen van der Heide,20250808,De Graafschap vs VVV-Venlo,De Graafschap,48.262542466619266,6108.59,646.28,132.98,24.0,9.0,RW,KKD
1223,David Kalokoh,20250808,FC Den Bosch vs Jong Ajax,Jong Ajax,73.33882754140954,9032.41,757.87,138.6,26.0,8.0,LW,KKD
1477,Gerald Alders,20250808,FC Den Bosch vs Jong Ajax,Jong Ajax,100.42626471524022,12625.59,752.32,169.5,33.0,5.0,RB,KKD
1572,Ahmetcan Kaplan,20250808,FC Den Bosch vs Jong Ajax,Jong Ajax,100.42477716755201,11154.18,777.11,255.87,29.0,11.0,CB,KKD
1576,Avery Appiah,20250808,FC Den Bosch vs Jong Ajax,Jong Ajax,100.42623796423659,11681.58,1554.27,628.48,30.0,25.0,RB,KKD
1723,Don O'Niel,20250808,FC Den Bosch vs Jong Ajax,Jong Ajax,84.26342366604949,10012.18,1030.6100000000001,382.92,27.0,14.0,RW,KKD
1724,Sean Steur,20250808,FC Den Bosch vs Jong Ajax,Jong Ajax,100.42316504700956,12710.56,1113.7,162.38,48.0,6.0,CM,KKD
1725,Luca Messori,20250808,FC Den Bosch vs Jong Ajax,Jong Ajax,26.883099752679307,3260.92,482.65999999999997,155.32,14.0,4.0,CM,KKD
1832,Lucas Jetten,20250808,FC Den Bosch vs Jong Ajax,Jong Ajax,73.54035314782287,7954.86,552.04,140.21,19.0,7.0,LB,KKD
1933,Ryan van de Pavert,20250808,FC Den Bosch vs Jong Ajax,Jong Ajax,27.0842229133395,3222.21,473.89,187.34,9.0,8.0,RB,KKD
1943,Rayane Bounida,20250808,FC Den Bosch vs Jong Ajax,Jong Ajax,63.60648723257419,9216.58,857.53,150.38,30.0,8.0,AM,KKD
1952,Jinairo Johnson,20250808,FC Den Bosch vs Jong Ajax,Jong Ajax,100.42588990468782,10325.79,837.05,243.64,29.0,12.0,CB,KKD
2080,Joeri Heerkens,20250808,FC Den Bosch vs Jong Ajax,Jong Ajax,100.42985426174002,6822.2,96.65,15.53,2.0,1.0,GK,KKD
2085,Don-Angelo Konadu,20250808,FC Den Bosch vs Jong Ajax,Jong Ajax,63.73917946049093,7348.49,638.81,207.07,16.0,10.0,CF,KKD
2088,Damián van der Vaart,20250808,FC Den Bosch vs Jong Ajax,Jong Ajax,36.81927185524307,5066.7,632.59,112.02,21.0,4.0,CM,KKD
2093,Lasse Abildgaard,20250808,FC Den Bosch vs Jong Ajax,Jong Ajax,16.165503111246014,2130.29,345.53999999999996,88.7,10.0,3.0,RW,KKD
2094,Emre Ünüvar,20250808,FC Den Bosch vs Jong Ajax,Jong Ajax,36.68357702560789,4541.06,515.59,145.18,12.0,5.0,CF,KKD
10,Danny Verbeek,20250808,FC Den Bosch vs Jong Ajax,FC Den Bosch,100.41918034289905,10952.72,690.0600000000001,122.6,21.0,4.0,AM,KKD
1244,Ilias Boumassaoudi,20250808,FC Den Bosch vs Jong Ajax,FC Den Bosch,100.42032262927786,13321.76,1295.46,331.6,42.0,13.0,AM,KKD
1295,Mees Laros,20250808,FC Den Bosch vs Jong Ajax,FC Den Bosch,100.42277825711821,12802.9,1090.44,251.33,31.0,8.0,CM,KKD
1840,Denzel Kuijpers,20250808,FC Den Bosch vs Jong Ajax,FC Den Bosch,25.443884690736077,2727.33,266.7,81.45,8.0,5.0,CF,KKD
2071,Jeffry Fortes,20250808,FC Den Bosch vs Jong Ajax,FC Den Bosch,100.42619943124483,10947.46,831.7,169.83,28.0,9.0,RB,KKD
2072,Nick de Groot,20250808,FC Den Bosch vs Jong Ajax,FC Den Bosch,100.4195287871246,12104.57,1333.67,400.5,33.0,16.0,LB,KKD
2073,Kévin Monzialo,20250808,FC Den Bosch vs Jong Ajax,FC Den Bosch,73.53563642461849,8769.86,796.6199999999999,239.94,22.0,11.0,CF,KKD
2074,Kevin Felida,20250808,FC Den Bosch vs Jong Ajax,FC Den Bosch,100.42238479650185,11942.23,745.0899999999999,110.8,30.0,4.0,DM,KKD
2075,Filali el Iliass,20250808,FC Den Bosch vs Jong Ajax,FC Den Bosch,12.936338258323687,1899.96,187.05,78.78,5.0,3.0,CM,KKD
2078,Emian-Johar Semedo,20250808,FC Den Bosch vs Jong Ajax,FC Den Bosch,26.8918404683498,3674.77,547.14,244.45,9.0,9.0,RW,KKD
342,Teun van Grunsven,20250808,FC Den Bosch vs Jong Ajax,FC Den Bosch,100.42620202911337,11383.31,766.0,189.11,22.0,8.0,CB,KKD
463,Reda Akmum,20250808,FC Den Bosch vs Jong Ajax,FC Den Bosch,100.42648345877822,11474.73,774.8199999999999,272.68,18.0,10.0,CB,KKD
512,Pepijn van de Merbel,20250808,FC Den Bosch vs Jong Ajax,FC Den Bosch,100.41940683430046,6230.02,20.339999999999996,2.01,0.0,0.0,GK,KKD
551,Thijs van Leeuwen,20250808,FC Den Bosch vs Jong Ajax,FC Den Bosch,62.04462867012089,8980.96,774.65,142.37,31.0,7.0,CM,KKD
1250,Jorn Berkhout,20250808,FC Dordrecht vs SC Cambuur,SC Cambuur,61.61608448415922,7584.94,691.79,168.51,20.0,6.0,CB,KKD
1279,Mark Diemers,20250808,FC Dordrecht vs SC Cambuur,SC Cambuur,95.093563164842,12247.1,711.1899999999999,163.01,21.0,7.0,CM,KKD
1339,Remco Balk,20250808,FC Dordrecht vs SC Cambuur,SC Cambuur,95.09501960457162,11399.04,1010.78,266.56,31.0,9.0,RW,KKD
1719,Bram Marsman,20250808,FC Dordrecht vs SC Cambuur,SC Cambuur,30.632007561986473,4212.82,527.1,194.55,15.0,7.0,LB,KKD
1855,Tony Rölke,20250808,FC Dordrecht vs SC Cambuur,SC Cambuur,22.242203662554594,2902.83,271.74,52.15,13.0,2.0,AM,KKD
2019,Daan Visser,20250808,FC Dordrecht vs SC Cambuur,SC Cambuur,45.05194711883891,6270.33,395.28,57.09,18.0,3.0,DM,KKD
2059,Jamal Amofa,20250808,FC Dordrecht vs SC Cambuur,SC Cambuur,77.20154899135446,8572.46,617.62,218.1,15.0,10.0,CB,KKD
2060,Rik Mulders,20250808,FC Dordrecht vs SC Cambuur,SC Cambuur,95.09085475194262,11136.09,1005.6300000000001,296.92,38.0,11.0,RB,KKD
